ds,yhat,yhat_lower,yhat_upper
2022-12-11,37669.241586474636,15006.828228746554,63291.17114820159
2022-12-12,38889.355754968754,13563.340180826379,59984.44768812446
2022-12-13,37514.91135599377,13072.113519759434,58696.85995249103
2022-12-14,38172.496906015585,15375.661486363737,60461.96320550893
2022-12-15,37580.29674938654,13684.02831927859,62019.38910690084
2022-12-16,40571.629656617166,18115.422682633744,63528.697907082475
2022-12-17,37827.27140715943,15769.227971579987,62381.53355124439
2022-12-18,36683.71562660014,13025.984406836455,59095.662497644116
2022-12-19,37346.91530267723,14822.005334469446,61327.88856944643
2022-12-20,35421.170741722046,11563.193875493516,57213.763321063256
2022-12-21,35545.483766475074,13272.3848944464,59200.2658508198
2022-12-22,34450.41683319151,10501.017510582897,56309.009278055375
2022-12-23,36981.28998978923,15641.657841993776,60224.92828275842
2022-12-24,33830.16578803379,10331.383322046235,56610.792407161956
2022-12-25,32343.99028412502,9269.147885698447,56918.118418853206
2022-12-26,32737.421994343327,12123.287031959417,56728.86826372701
2022-12-27,30622.063717445348,7931.318684003575,54714.978562451004
2022-12-28,30642.384931227003,8532.871636324013,53488.0887179169
2022-12-29,29532.400548332826,7350.939579521783,52365.810470334094
2022-12-30,32138.740637331037,7874.301937045009,54958.16684985484
2022-12-31,29152.565447268462,7085.125936020807,51071.96696346484
2023-01-01,27917.696483747575,3677.327318385329,51317.82797419986
2023-01-02,28643.496420746957,5643.237348075471,51425.80750372267
2023-01-03,26934.211942644313,2390.174529711521,49215.668241069536
2023-01-04,27425.06468731657,2962.136233873518,50136.874919810965
2023-01-05,26839.151880656842,3840.352576243199,48565.4123615292
2023-01-06,30010.785528240718,6008.165723495394,52144.02272499598
2023-01-07,27617.717372285988,4848.853584682151,49846.92026421812
2023-01-08,26989.612040204633,4103.150124762248,49588.41348811264
2023-01-09,28321.291886422965,6747.889076298292,51566.55665096918
2023-01-10,27202.45764127669,6038.3781005439205,50064.61187629074
2023-01-11,28254.159639338242,3815.1592181156293,51993.631076934886
2023-01-12,28186.070696887167,5555.591404100122,52217.69096153267
2023-01-13,31820.17916064977,8202.151720116044,55544.99737568857
2023-01-14,29823.339463849967,4709.840479271841,52972.60997400674
2023-01-15,29516.033498418525,7879.039086324204,53739.66191022311
2023-01-16,31085.858202965857,7633.33082307505,54767.1496467701
2023-01-17,30117.436627345327,7588.73255420112,53158.43579656324
2023-01-18,31229.0218391733,8561.4900126438,55635.368652383564
2023-01-19,31129.840939049634,8505.05351790798,53315.69444589491
2023-01-20,34643.79561756572,12848.279076019931,57085.79301192083
2023-01-21,32441.956278861853,8293.366596409074,54272.02810304516
2023-01-22,31851.17854071316,9206.605149845873,54158.863339803574
2023-01-23,33067.49061925091,9026.345015088467,55570.10085427474
2023-01-24,31685.693984852554,6923.928886339119,54806.07040231792
2023-01-25,32335.712829123535,10046.006308757771,55522.07800524501
2023-01-26,31739.617484435075,9385.370868336906,55210.01190234218
2023-01-27,34734.97308715099,11989.546504334896,58464.37151776417
2023-01-28,32006.960265710484,8981.842562656462,54957.45566237337
2023-01-29,30896.632995313576,8054.931868610455,53485.47889466799
2023-01-30,31613.84290859798,8566.868777018179,54783.16714287732
2023-01-31,29766.542878294244,7154.9603611738285,52878.983503816045
2023-02-01,29996.756021130735,8708.823023804413,52253.443594105906
2023-02-02,29037.274928097697,6381.7256177391755,50509.17634138177
2023-02-03,31734.72535404133,10147.921142668325,55431.04706685734
2023-02-04,28781.44895055855,6505.651920639672,52574.38408627152
2023-02-05,27523.576652435517,3468.1120912026236,50632.87237748455
2023-02-06,28173.82696139011,4301.914734475218,51186.88763499351
2023-02-07,26340.74524517943,2729.2228888012423,48928.2141043717
